,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
6386,vasastan,101389.0,3495000.0,1.0,36.0,954.0,3600.0,1927.0,3650000,0.0,0.044349070100143065,0.8809710258418167
6387,vasastan,110000.0,2850000.0,1.0,30.0,1132.0,0.0,1930.0,3300000,0.0,0.15789473684210525,0.8809710258418167
6388,vasastan,96250.0,3495000.0,2.0,40.0,2100.0,3480.0,1906.0,3850000,0.0,0.10157367668097282,0.8809710258418167
6389,vasastan,86486.0,5995000.0,2.0,74.0,3898.0,0.0,1926.0,6400000,0.0,0.06755629691409508,0.8809710258418167
6390,vasastan,91228.0,5495000.0,2.0,57.0,3310.0,3600.0,2012.0,5200000,0.0,-0.05368516833484986,0.8809710258418167
6391,vasastan,100000.0,3250000.0,2.0,38.0,1972.0,0.0,1887.0,3800000,0.0,0.16923076923076924,0.8809710258418167
6392,ostermalm,91884.0,5495000.0,3.0,69.0,3181.0,0.0,1931.0,6340000,0.0,0.1537761601455869,0.8809710258418167
6393,kungsholmen,92857.0,2250000.0,1.0,28.0,1709.0,0.0,1934.0,2600000,0.0,0.15555555555555556,0.8805794831636649
6394,kungsholmen,79048.0,7695000.0,4.0,105.0,4842.0,10788.0,1993.0,8300000,0.0,0.07862248213125406,0.8805794831636649
6395,kungsholmen,76712.0,2750000.0,1.0,36.5,2073.0,8676.0,1926.0,2800000,0.0,0.01818181818181818,0.8805794831636649
6396,kungsholmen,70175.0,3795000.0,2.0,57.0,1326.0,7200.0,1885.0,4000000,0.0,0.05401844532279315,0.8805794831636649
6397,gardet,81410.0,6350000.0,3.0,78.0,4181.0,0.0,2018.0,6350000,0.0,0.0,0.8805794831636649
6398,gardet,65833.0,5500000.0,3.0,84.0,4687.0,5460.0,2014.0,5530000,0.0,0.005454545454545455,0.8805794831636649
6399,lilla_essingen,104167.0,1995000.0,1.0,24.0,1803.0,3480.0,1939.0,2500000,0.0,0.2531328320802005,0.8805794831636649
6400,ostermalm,125723.0,19990000.0,5.0,159.0,5338.0,0.0,1904.0,19990000,0.0,0.0,0.8805794831636649
6401,ostermalm,106931.0,10900000.0,4.0,101.0,3720.0,6000.0,1885.0,10800000,0.0,-0.009174311926605505,0.8805794831636649
6402,ostermalm,100000.0,5995000.0,2.0,58.0,2458.0,3800.0,1915.0,5800000,0.0,-0.03252710592160134,0.8805794831636649
6403,ostermalm,80903.0,5995000.0,2.0,72.0,2265.0,6000.0,1994.0,5825000,0.0,-0.02835696413678065,0.8805794831636649
